advantages,availability,brand,breadcrumbs,description,files,images,name,price,properties,rating,sku,video_id
" Тихая работа Агрегаты серии STIHL AkkuSystem COMPACT настолько тихие, что не требуют специальных средств защиты слуха.Регулируемая по высоте воздуходувная трубаZoom  Регулируемая по высоте воздуходувная труба Трёхступенчатая регулировка под любой рост и любую задачу. Вы сможете работать без потерь производительности из-за высокого расположения устройства.Проушина для подвешиванияZoom  Проушина для подвешивания В корпусе рукоятки предусмотрено специальное отверстие, с помощью которого можно надёжно закрепить инструмент на стене..Прорезиненная рукояткаZoom  Прорезиненная рукоятка Прорезиненная рукоятка поглощает часть вибрации и комфортна в использовании.Мультифункциональная рукояткаZoom  Мультифункциональная рукоятка Все элементы управления находятся под рукой. Кроме того, управление удобно как при правом, так и при левом хвате. ",yes,Stihl,"Каталог техники STIHL,Воздуходувки и садовые пылесосы,Аккумуляторные","Успейте купить воздуходувку аккумуляторную STIHL BGA 56 (без З/У и АКБ) по самой выгодной цене. На сайте представлен огромный ассортимент продукции от известных брендов «Stihl» и «Viking», который не оставит равнодушным ни одного покупателя. Сервисное обслуживание в гарантийный и послегарантийный периоды Вы сможете осуществить в любом официальном сервисном центре. Непосредственно ознакомиться с товаром можно в нашем магазине на Волоколамском шоссе, где Вы получите исчерпывающую дополнительную консультацию.",https://techno-angel.ru/uploads/items/file/stihl_bga_56_2.pdf,"https://techno-angel.ru/uploads/catalog/image/source_bga_56.jpg,https://techno-angel.ru/uploads/gallery/image/source_1_44.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_112.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_133.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_123.jpg,https://techno-angel.ru/uploads/gallery/image/source_5_107.jpg",Воздуходувка аккумуляторная STIHL BGA 56 без АКБ и ЗУ,10490,"[{'Тип двигателя': 'бесколлекторный ', 'Наличие в магазинах': 'Щукинская ', 'Зарядное устройство для батарей': 'приобретается отдельно ', 'Аккумуляторная батарея': 'приобретается отдельно ', 'Технология аккумулятора': 'Li-Ion ', 'Напряжение аккумулятора': '36 В', 'Расход воздуха максимальный': '750 м3/ч', 'Скорость воздушного потока с круглой насадкой': '54 м/с2', 'Уровень вибрации': '2.5 м/с2', 'Уровень звукового давления': '79 дБ (A)', 'Уровень звуковой мощности': '91 дБ (A)', 'Круглая форсунка': 'есть ', 'Корпус воздуходувки': 'пластик ', 'Вес (без аккумулятора)': '2.1 кг.', 'Артикул': '45230115904'}]",4.00,00018496,5aO_doN6R_s
"      Защитные очки Для Вашей безопасности в стандартную комплектацию входят защитные очки. Они хорошо обдуваются и имеют широкую боковую защиту (иллюстрация-пример).       Двигатель 2-MIX STIHL При продувке цилиндров двигателя между сгоревшей смесью в камере сгорания и свежей смесью в картере образуется воздушная прослойка, не содержащая топлива. Эта прослойка уменьшает потери топлива при газообмене и, соответственно, нагрузку на человека и окружающую среду.       Наплечный ремень Мягкие наплечные ремни STIHL облегчают работу, особенно длительную. Они дают большую свободу движения и обеспечивают надёжность при эксплуатации изделия. Наплечный ремень входит в серийную комплектацию изделий STIHL.       Ручной топливный насос С помощью ручного топливного насоса можно вручную, нажатием пальца подкачать топливо в карбюратор. Это позволяет сократить количество пусковых рывков после длительного перерыва в эксплуатации. Все инструменты для ухода за зелёными насаждениями и все воздуходувные устройства снабжены ручным топливным насосом.       Обслуживание одной рукой Элементы управления двигателем встроены в рукоятку. Эргономичная рукоятка с элементами управления находится точно над серединой корпуса. Управление простое и удобное, так как ладонь лежит на рукоятке. Устройства можно носить по желанию справа или слева.      Устанавливается опционально:       STIHL ElastoStart В результате давления сжатия при запуске двухтактных двигателей возникают толчкообразные силы, нагружающие мышцы и суставы. Пусковое устройство ElastoStart заметно уменьшает эти вредные воздействия. Специальный демпфирующий элемент в ручке пускателя расширяется соответственно силе тяги, и таким образом запуск происходит равномерно, без толчков.     ",yes,Stihl,"Каталог техники STIHL,Воздуходувки и садовые пылесосы,Бензиновые",Агрегаты ,https://techno-angel.ru/uploads/items/file/stihl_bg_56_66_86_sh_56_86.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_38.jpg,https://techno-angel.ru/uploads/gallery/image/source_15_69.jpg,https://techno-angel.ru/uploads/gallery/image/source_14_75.jpg,https://techno-angel.ru/uploads/gallery/image/source_13_82.jpg,https://techno-angel.ru/uploads/gallery/image/source_12_85.jpg,https://techno-angel.ru/uploads/gallery/image/source_11_87.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_42.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_63.jpg",Воздуходувка бензиновая STIHL SH 56,18490,"[{'Тип двигателя': '2-х тактный STIHL 2-MIX ', 'Наличие в магазинах': 'Щукинская ', 'Мощность': '0.7 кВт', 'Рабочий объем': '27.2 см3', 'Расход воздуха в режиме всасывания': '710 м3/ч', 'Расход воздуха': '710 м3/ч', 'Максимальная скорость воздуха с круглой насадкой в режиме нагнетания ': '64 м/с', 'Емкость топливного бака': '0.5 л.', 'в комплекте:': 'Круглая насадка ', 'Уровень вибрации слева/справа': '8.5/7.5 м/с', 'Переоборудование во всасывающий измельчитель (для BG)': 'нет ', 'Переоборудование в воздуходувку (для SH)': 'да ', 'Пусковое устройство ElastoStart': 'да ', 'Ручной топливный насос': 'да ', 'Антивибрационная система': 'да ', 'Вес': '5.2 кг.', 'Артикул': '42410110900'}]",4.00,00012381,kjDg9hVGYYk
"      Мешок для всасывания В комплект поставки входит прочный мешок для всасывания материала из углов и канав, а также с дорожек, грядок и газонов. Мешок быстро и просто опорожняется через застежку на молнии в нижней его части.       Встроенное приспособление для разгрузки сетевого кабеля от натяжения Предотвращает случайное отсоединение вилки при подтягивании кабеля (см. иллюстрация).       ",yes,Stihl,"Каталог техники STIHL,Воздуходувки и садовые пылесосы,Электрические",,https://techno-angel.ru/uploads/items/file/she81.pdf,"https://techno-angel.ru/uploads/catalog/image/source_14_3.jpg,https://techno-angel.ru/uploads/gallery/image/source_12_79.jpg,https://techno-angel.ru/uploads/gallery/image/source_11_79.jpg",Воздуходувка электрическая STIHL SHE 81,10990,"[{'Тип двигателя': 'щеточный ', 'Наличие в магазинах': 'Щукинская ', 'Потребляемая мощность': '1400 Вт', 'Расход воздуха': '750 м3/ч', 'Максимальная скорость воздуха с круглой насадкой в режиме нагнетания': '76 м/с', 'Уровень вибрации слева/справа': '5.6/2.6 м/с', 'Расход воздуха в режиме всасывания': '650 м3/ч', 'Переоборудование во всасывающий измельчитель': 'нет ', 'Переоборудование в воздуходувку': 'да ', 'Защитные очки': 'да ', 'Регулировка оборотов': 'да ', 'Вес': '4.5 кг.', 'Артикул': '48110110834'}]",5.00,000130,"fWcvQ2bugQQ,fnT0UzWb_6w"
"      Мешок для всасывания В комплект поставки входит прочный мешок для всасывания материала из углов и канав, а также с дорожек, грядок и газонов. Мешок быстро и просто опорожняется через застежку на молнии в нижней его части.       Встроенное приспособление для разгрузки сетевого кабеля от натяжения Предотвращает случайное отсоединение вилки при подтягивании кабеля (см. иллюстрация).     ",yes,Stihl,"Каталог техники STIHL,Воздуходувки и садовые пылесосы,Электрические",,,"https://techno-angel.ru/uploads/catalog/image/source_13.jpg,https://techno-angel.ru/uploads/gallery/image/source_12_78.jpg,https://techno-angel.ru/uploads/gallery/image/source_11_78.jpg",Воздуходувка электрическая STIHL SHE 71,8990,"[{'Тип двигателя': 'щеточный ', 'Наличие в магазинах': 'Щукинская ', 'Потребляемая мощность': '1100 Вт', 'Расход воздуха': '670 м3/ч', 'Максимальная скорость воздуха с круглой насадкой в режиме нагнетания': '66 м/с', 'Уровень вибрации слева/справа': '1.2/0.8 м/с', 'Расход воздуха в режиме всасывания': '580 м3/ч', 'Переоборудование во всасывающий измельчитель': 'нет ', 'Переоборудование в воздуходувку': 'да ', 'Защитные очки': 'да ', 'Регулировка оборотов': 'нет ', 'Вес': '4.1 кг.', 'Артикул': '48110110824'}]",5.00,00022272,fnT0UzWb_6w
,yes,Stihl,"Каталог техники STIHL,Принадлежности и смазочные материалы,Для аккумуляторной техники,Зарядные устройства",,https://techno-angel.ru/uploads/items/file/stihl_al_101_300_500.pdf,"https://techno-angel.ru/uploads/catalog/image/source_al101.jpg,https://techno-angel.ru/uploads/gallery/image/source_6_50.jpg",Зарядное устройство STIHL AL 101,3490,"[{'Наличие в магазинах': 'Щукинская ', 'Для аккумуляторов': 'AK10, AK20 ', 'Напряжение': '36 В', 'Артикул': '48504302520'}]",5.00,00018495,
  Имеет индикатор заряда (LED)  Время работы зависит от типа агрегата  ,yes,Stihl,"Каталог техники STIHL,Принадлежности и смазочные материалы,Для аккумуляторной техники,Аккумуляторы",,,https://techno-angel.ru/uploads/catalog/image/source_akkumulyator_ak_30.jpg,"Аккумулятор STIHL AK30 (для AL 101, AL 100, AL 300 и AL 500)",9490,"[{'Технологии аккумуляторов': 'Li-Ion ', 'Наличие в магазинах': 'Щукинская ', 'Время работы': '55 мин', 'Емкость': '180 Вт/ч', 'Вес': '1.3 кг', 'Артикул': '45204006512'}]",4.00,00022274,
  Отсутствие эффекта памяти и саморазряда  Компактные размеры и небольшой вес  Совместим с универсальными зарядными устройствами STIHL  Высокая энергоотдача - до 118 Вт/ч  Быстрая зарядка - до 100% всего за 150 минут  ,yes,Stihl,"Каталог техники STIHL,Принадлежности и смазочные материалы,Для аккумуляторной техники,Аккумуляторы",,,"https://techno-angel.ru/uploads/catalog/image/source_1_72.jpg,https://techno-angel.ru/uploads/gallery/image/source_6_52.jpg","Аккумулятор STIHL AK 20 (для FSA 56, HSA 56, BGA 56, MSA 120 C)",7990,"[{'Технологии аккумуляторов': 'Li-Ion ', 'Наличие в магазинах': 'Щукинская ', 'Емкость': '118 Вт/ч', 'Вес': '1.2 кг', 'Артикул': '45204006503'}]",5.00,00018494,
  Отсутствие эффекта памяти и саморазряда  Компактные размеры и небольшой вес  Совместим с универсальными зарядными устройствами STIHL  Высокая энергоотдача - до 59 Вт/ч  Быстрая зарядка - до 100% всего за 80 минут  ,yes,Stihl,"Каталог техники STIHL,Принадлежности и смазочные материалы,Для аккумуляторной техники,Аккумуляторы",,,"https://techno-angel.ru/uploads/catalog/image/source_1_50.jpg,https://techno-angel.ru/uploads/gallery/image/source_6_51.jpg","Аккумулятор STIHL AK 10 (для FSA 56, HSA 56, BGA 56, MSA 120 C)",4990,"[{'Технологии аккумуляторов': 'Li-Ion ', 'Наличие в магазинах': 'Щукинская ', 'Емкость': '59 Вт/ч', 'Вес': '0.8 кг', 'Артикул': '45204006500'}]",4.00,00018493,
"      Защитные очки Для Вашей безопасности в стандартную комплектацию входят защитные очки. Они хорошо обдуваются и имеют широкую боковую защиту.       Встроенное приспособление для разгрузки сетевого кабеля от натяжения Предотвращает случайное отсоединение вилки при подтягивании кабеля.       Управление одной рукой Элементы управления двигателем встроены в рукоятку. Эргономичная рукоятка с элементами управления находится точно над серединой корпуса. Управление устройствами осуществляется легко и надёжно, ведь рука лежит на рукоятке. Устройства можно носить по желанию справа или слева.      Устанавливается опционально:       Навесной комплект для всасывания Электровоздуходувки STIHL могут работать и на всасывание. С помощью дополнительного навесного блока можно без помощи инструмента переходить с режима нагнетания на режим всасывания.       ",yes,Stihl,"Каталог техники STIHL,Воздуходувки и садовые пылесосы,Электрические",,https://techno-angel.ru/uploads/items/file/stihlshebge7181.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_42.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_50.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_73.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_66.jpg,https://techno-angel.ru/uploads/gallery/image/source_14_69.jpg,https://techno-angel.ru/uploads/gallery/image/source_15_63.jpg",Воздуходувка электрическая STIHL BGE 81,8490,"[{'Тип двигателя': 'электрический ', 'Наличие в магазинах': 'Щукинская ', 'Потребляемая мощность': '1400 Вт', 'Расход воздуха': '750 м3/ч', 'Расход воздуха (режим нагнетания)': '570 м3/ч', 'Максимальная скорость воздуха с круглой насадкой в режиме нагнетания': '76 м/с', 'Уровень вибрации слева/справа': '4.1 м/с', 'Переоборудование во всасывающий измельчитель': 'да ', 'Переоборудование в воздуходувку': 'нет ', 'Защитные очки': 'да ', 'Регулировка оборотов': 'нет ', 'Вес': '3.3 кг.', 'Артикул': '48110111551'}]",4.00,00028911,fnT0UzWb_6w
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент подметальный валик со щитком для комбисистемы STIHL. Для удаления грязи, мусора, листвы, снега и многого другого. Масса: 7,4 кг. Общая длина: 125 см. Разрешается использовать с любыми базовыми двигателями с круговой рукояткой (R).",https://techno-angel.ru/uploads/items/file/stihl_kbkm_kwkm.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_84.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_68.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_91.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_84.jpg,https://techno-angel.ru/uploads/gallery/image/source_5_69.jpg,https://techno-angel.ru/uploads/gallery/image/source_6_59.jpg",Подметальный валик с козырьком STIHL KW-KM,27490,"[{'Рабочая ширина': '60 см.', 'Общая длина': '125 см.', 'Вес': '7.4 кг.', 'Артикул': '46022040003'}]",4.00,000556,7agygTzqeDc
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент: мотосекатор, ножевая траверса со ступенчатой регулировкой в диапазоне до 135°, с транспортировочным положением. Для ухода за высокими и широкими живыми изгородями или травяным покровом. Масса: 2,6 кг. Общая длина: 160 см. Разрешается применять для всех базовых двигателей с круговой рукояткой (R).",https://techno-angel.ru/uploads/items/file/hlkm.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_26.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_67.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_90.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_83.jpg,https://techno-angel.ru/uploads/gallery/image/source_5_68.jpg",Высоторез бензиновый STIHL HL-KM 135°,19990,"[{'Наличие в магазинах': 'Щукинская ', 'Общая длина': '160 см.', 'Вес': '2.6 кг.', 'Артикул': '42307405000'}]",4.00,0007996,t5Z5c6HXAK8
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент: мотосекатор с прямой ножевой траверсой для комбисистемы STIHL. Для ухода за высокими и широкими живыми изгородями. Масса: 2,3 кг. Общая длина: 118 см. Разрешается применять для всех базовых двигателей с круговой рукояткой (R).",https://techno-angel.ru/uploads/items/file/stihl_hlkm.pdf,https://techno-angel.ru/uploads/catalog/image/source_1_18.jpg,Высоторез бензиновый STIHL HL-KM 0°,19990,"[{'Наличие в магазинах': 'Щукинская ', 'Общая длина': '116 см.', 'Вес': '1.8 кг.', 'Артикул': '42307405004'}]",5.00,0007997,aY7kE3nciyE
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент: подметальная щетка для комбисистемы STIHL. Для тщательной очистки любых поверхностей, в т.ч. с неровностями и из природного камня, от крупной грязи или утоптанной земли. Масса: 6,4 кг. Общая длина: 120 см. Разрешается использовать с любыми базовыми двигателями с круговой рукояткой (R).",https://techno-angel.ru/uploads/items/file/stihl_kbmm_kwmm_3.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_15.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_66.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_89.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_82.jpg",Подметальная щётка STIHL KB-KM,18990,"[{'Наличие в магазинах': 'Щукинская ', 'Рабочая ширина': '60 см.', 'Общая длина': '125 см.', 'Вес': '6.6 кг.', 'Артикул': '46017404905'}]",5.00,00011479,9wy9w8bJ0Iw
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент: почвенная фреза для комбисистемы STIHL. Эта почвенная фреза без труда разрыхляет даже самые твёрдые и тяжёлые глинистые почвы. Идеальна для возделывания земли, рыхления или высаживания растений. Масса: 4,1 кг. Общая длина: 103 см. Разрешается использовать с любыми базовыми двигателями.",https://techno-angel.ru/uploads/items/file/stihl_bfkm.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_16.jpg,https://techno-angel.ru/uploads/gallery/image/source_1_29.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_86.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_80.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_63.jpg",Почвенная фреза STIHL BF-KM,13990,"[{'Наличие в магазинах': 'Щукинская ', 'Рабочая ширина': '22 см.', 'Общая длина': '100 см.', 'Вес': '4.1 кг.', 'Артикул': '46017405000'}]",5.00,00011480,tr2I1zuz7hg
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент: высоторез для комбисистемы STIHL. Комбиинструмент высоторез позволит, например, упростить уход за плодовыми деревьями. Работа выполняется с земли. Масса: 1,8 кг. Общая длина: 126 см. Разрешается применять для всех базовых двигателей с круговой рукояткой (R).",https://techno-angel.ru/uploads/items/file/ht_km.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_19.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_64.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_87.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_81.jpg",Высоторез STIHL HT-KM,12990,"[{'Наличие в магазинах': 'Щукинская ', 'Общая длина': '126 см.', 'Вес': '1.8 кг.', 'Артикул': '41822000057'}]",4.00,0007998,NQ3Hkd7yW5E
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент: кромкорез для комбисистемы STIHL. С изогнутым штоком. Для точной подрезки кромок газонов у дорог и подъездных путей. Масса: 2,3 кг. Общая длина: 92 см. Разрешается применять для всех базовых двигателей с круговой рукояткой (R).",,"https://techno-angel.ru/uploads/catalog/image/source_1_17.jpg,https://techno-angel.ru/uploads/gallery/image/source_1_27.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_60.jpg","Кромкорез, изогнутый шток STIHL FCB-KM",7990,"[{'Наличие в магазинах': 'Щукинская ', 'Общая длина': '92 см.', 'Вес': '2.3 кг.', 'Артикул': '41377405000'}]",4.00,0007995,930hGOQerJQ
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент: воздуходувное устройство для комбисистемы STIHL. Малый вес и мощная струя воздуха позволяют легко и быстро убирать листву, срезанную траву или снег с дорожек и площадок. Производительность зависит от используемого базового двигателя. Масса: 1,8 кг. Общая длина: 89 см. Разрешается применять для всех базовых двигателей с круговой рукояткой (R).",https://techno-angel.ru/uploads/items/file/stihl_bgkm.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_20.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_61.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_77.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_83.jpg",Воздуходувное устройство STIHL BG-KM,7490,"[{'Наличие в магазинах': 'Щукинская ', 'Общая длина': '89 см.', 'Вес': '1.8 кг.', 'Артикул': '46067405000'}]",4.00,00011476,Y7T4j2m7uy8
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты","Комбиинструмент: коса с режущим диском для травы с 4 зубьями для комбисистемы STIHL. Для скашивания бурьяна, крапивы или камыша. Масса: 1,2 кг. Общая длина: 94 см. Разрешается использовать с любыми базовыми двигателями.",,"https://techno-angel.ru/uploads/catalog/image/source_1_21.jpg,https://techno-angel.ru/uploads/gallery/image/source_1_25.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_58.jpg,https://techno-angel.ru/uploads/gallery/image/source_3_81.jpg,https://techno-angel.ru/uploads/gallery/image/source_4_76.jpg",Режущий диск для травы с 4 режущими кромками STIHL FS-KM GSB 230-4,5215,"[{'Наличие в магазинах': 'Щукинская ', 'Общая длина': '94 см.', 'Вес': '1.2 кг.', 'Артикул': '41372270006'}]",5.00,0002138,
,yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-инструменты",Данная насадка оснащена хорошо всем знакомой косильной головкой Stihl AutoCut ® 25-2. Также возможно без особого труда заменить данную головку на STIHL Supercut или Durocut.,,"https://techno-angel.ru/uploads/catalog/image/source_1_78.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_28.jpg",Триммер STIHL FS-MM,2490,[{'Артикул': '46017404610'}],5.00,0001729,
"        Проушина для подвешивания  В корпусе рукоятки предусмотрено специальное отверстие, с помощью которого можно надёжно закрепить инструмент на стене.       Мультифункциональная рукоятка  Все элементы управления двигателем, а также предохранительный стопорный рычаг расположены на рукоятке. Это обеспечивает легкое и надёжное управление – независимо от того, работаете ли вы правой или левой рукой.       Регулируемая по длине труба  Воздуходувная труба может регулироваться без инструментов под Ваш рост или рабочие задачи.       Тихая работа  Агрегаты серии STIHL AkkuSystem COMPACT настолько тихие, что не требуют специальных средств защиты слуха.       ",yes,Stihl,"Каталог техники STIHL,Воздуходувки и садовые пылесосы,Аккумуляторные","Аккумуляторное воздуходувное устройство BGA 45 предназначена для сдувания листвы, травы, бумаги и прочего садового мусора на небольших территориях.",https://techno-angel.ru/uploads/items/file/stihl_bga_45.pdf,"https://techno-angel.ru/uploads/catalog/image/source_bga_45.jpg,https://techno-angel.ru/uploads/gallery/image/source_multifunktsionalnaya_rukoyatka.jpg,https://techno-angel.ru/uploads/gallery/image/source_proushina_dlya_podveshivaniya.jpg",Воздуходувка аккумуляторная STIHL BGA 45 D,9485,"[{'Тип двигателя': 'бесколлекторный ', 'Наличие в магазинах': 'Щукинская ', 'Зарядное устройство для батарей': 'приобретается отдельно ', 'Аккумуляторная батарея': 'приобретается отдельно ', 'Технология аккумулятора': 'Li-Ion ', 'Напряжение аккумулятора': '18 В', 'Мощность/ёмкость АКБ': '2 Ач', 'Расход воздуха максимальный': '500 м3/ч', 'Скорость воздушного потока с круглой насадкой': '44 м/с2', 'Уровень вибрации': '3.2 м/с2', 'Уровень звукового давления': '89 дБ (A)', 'Круглая форсунка': 'да ', 'Корпус воздуходувки': 'пластик ', 'Вес (без аккумулятора)': '2 кг.', 'Артикул': '45130115901'}]",4.00,00022552,M_9EL-QpMqc
"      Антивибрационная система Антивибрационная система используется в инструментах для ухода за зелёными насаждениями. Резиновые буферы уменьшают перенос вредных вибраций, создаваемых двигателем и вращающимся режущим инструментом. Поэтому рукоятки имеют крайне низкий уровень вибрации. Это делает работу удобной и неутомительной (см. иллюстрацию: кусторез).       Быстродействующая муфта Быстродействующая муфта рассоединяется простым ослаблением Т-образного винта. Штекерный разъём можно разъединить. При надевании комбиинструмента встроенная в муфту направляющая автоматически обеспечивает вращение приводного вала всегда в нужном направлении. Инструмент не требуется.       Круговая рукоятка (R) с ограничителем шага Круговая рукоятка идеально подходит для работы в тесном пространстве. Оптимальный вариант для использования комбиинструмента, такого как мотосекатор. Чтобы базовые двигатели с круговой рукояткой можно было использовать со всеми комбиинструментами без дооснащения, в комплект поставки входит ограничитель.       Многофункциональная рукоятка (R) Мультифункциональная рукоятка используется в мотокосах, кусторезах и садовых мотоножницах. В эту рукоятку встроены все элементы управления двигателем, Управление становится проще и безопаснее, так как ладонь постоянно лежит на ней. Мультифункциональная рукоятка встроена в руль косы. В устройствах с круговой рукояткой элементы управления размещены в штоке (см. иллюстрацию).       Электронная система зажигания Полностью герметичная электронная система зажигания гарантирует надёжный запуск и бесперебойную работу двигателя. Высокое напряжение зажигания обеспечивает надёжное искрообразование и длительное время горения искры. Это улучшает сгорание топлива и уменьшает вредные выбросы (см. иллюстрацию).       Разъемный шток Разборка в два счёта - это существенное преимущество разъёмных штоков комбисистемы и разборных мотокос. Инструмент не требуется. Агрегаты без проблем помещаются в багажник и легко складируются.       Двигатель 4-MIX STIHL Сочетает преимущества 2-тактного и 4-тактного двигателей. Меньше выхлопных газов, не требуется замена масла, спокойный звук работы. Отличное тяговое усилие и большой крутящий момент.       Автоматическая декомпрессионная система Чтобы при запуске нового двигателя 4-MIX не возникало проблем, была встроена декомпрессионная система, увеличивающая длительность открывания клапанов на время запуска двигателя. Это значительно уменьшает расход энергии при запуске.     ",yes,Stihl,"Каталог техники STIHL,Комби-системы,Комби-двигатели",Мощный и экологичный базовый двигатель типа 4-MIX с круговой рукояткой для универсального применения. Заправляется маслобензиновой смесью. Отличное тяговое усилие. Удобен при переноске и хранении. Практичная быстроразъёмная муфта для мгновенной замены инструмента. Подходит ко всем комбиинструментам ,https://techno-angel.ru/uploads/items/file/km_90_r.pdf,"https://techno-angel.ru/uploads/catalog/image/source_16_24.jpg,https://techno-angel.ru/uploads/gallery/image/source_11_37.jpg,https://techno-angel.ru/uploads/gallery/image/source_12_36.jpg,https://techno-angel.ru/uploads/gallery/image/source_13_36.jpg,https://techno-angel.ru/uploads/gallery/image/source_14_34.jpg,https://techno-angel.ru/uploads/gallery/image/source_15_27.jpg,https://techno-angel.ru/uploads/gallery/image/source_1_22.jpg",Комби-мотор STIHL KM 90 R,29890,"[{'Наличие в магазинах': 'Щукинская ', 'Мощность': '1.3 л.с.', 'Рабочий объем': '28.4 см3', 'Общая длина': '920 мм.', 'Вес': '4.5 кг.', 'Артикул': '41800115309'}]",5.00,0002137,qKjqCHgQEPI
